id,source_type,is_real_feedback,persona_group,device,understandability,ui_clarity,disclaimer_clarity,install_clarity,trust,comment,issue_tags,action_taken
SPF-011,synthetic_pre_pilot,false,کاربر عمومی,Android/Chrome,4,5,5,5,4,اپ از لینک باز شد و حس اپلیکیشن داشت، فقط بهتر است راهنمای نصب نزدیک پایین صفحه باشد.,"install,pwa",بخش نصب سریع قبل از footer اضافه شد.
SPF-012,synthetic_pre_pilot,false,پرستار تریاژ,Desktop/Chrome,4,4,5,4,4,اگر اکسیژن پایین باشد هشدار خوب دیده می‌شود. برای استفاده واقعی باید با پروتکل بیمارستان تطبیق داده شود.,clinical-validation,محدودیت بالینی در privacy و docs برجسته شد.
SPF-013,synthetic_pre_pilot,false,دانشجوی کامپیوتر,Android/Chrome,5,4,5,4,4,کار با فرم سریع است. بهتر است focus روی فیلدها مشخص‌تر باشد.,"accessibility,focus",focus-visible و outline واضح‌تر شد.
SPF-014,synthetic_pre_pilot,false,کاربر عمومی,iPhone/Safari,3,4,4,3,3,روی آیفون نصب را پیدا نکردم ولی متن راهنما کمک کرد.,ios-install,راهنمای iPhone در install panel اضافه شد.
SPF-015,synthetic_pre_pilot,false,آشنا با اورژانس,Android/Chrome,4,4,5,4,4,اقدام بعدی باید همیشه اولویت انسانی داشته باشد؛ اینکه نوشته جایگزین متخصص نیست مهم است.,"ethics,next-action",متن decision-support در نتیجه و footer حفظ شد.
SPF-016,synthetic_pre_pilot,false,دانشجوی پرستاری,Android/Chrome,4,4,5,4,4,خروجی «بررسی فوری» از ESI قابل فهم‌تر است.,terminology,عبارت ESI از متن اصلی کاربر حذف و به متن ساده تبدیل شد.
SPF-017,synthetic_pre_pilot,false,دانشجوی مدیریت,Desktop/Edge,4,5,5,4,4,برای MVP خیلی آماده به نظر می‌رسد. فقط فرم بازخورد پایین صفحه بهتر است در نسخه ارائه نباشد.,final-mode,فرم بازخورد از public UI حذف شد.
SPF-018,synthetic_pre_pilot,false,کاربر عمومی,Android/Chrome,4,4,4,4,4,رنگ‌ها جدی و پزشکی هستند. دکمه نصب واضح است.,visual-design,پالت جدی و چندرنگ حفظ شد.
SPF-019,synthetic_pre_pilot,false,دانشجوی پزشکی,Desktop/Chrome,4,4,5,4,4,فیلدهای باقی‌مانده کمک می‌کند بفهمم چرا اعتماد خروجی کامل نیست.,missing-fields,فیلدهای پیشنهادی باقی‌مانده حفظ شد.
SPF-020,synthetic_pre_pilot,false,آشنا با درمانگاه,Android/Chrome,3,4,5,4,3,برای کاربر غیرتخصصی، «شاخص شوک» ممکن است مبهم باشد.,clinical-jargon,در docs به ساده‌سازی اصطلاحات به‌عنوان lesson learned اضافه شد.
SPF-021,synthetic_pre_pilot,false,دانشجوی کامپیوتر,Desktop/Firefox,5,4,5,4,4,PWA خوب است. بهتر است هیچ درخواست localhost در نسخه عمومی نباشد.,"deploy,localhost",تست public PWA بدون درخواست local انجام شد.
SPF-022,synthetic_pre_pilot,false,کاربر عمومی,Android/Chrome,4,4,5,5,4,خوب است که حساب کاربری نمی‌خواهد.,friction,بدون login بودن در handoff حفظ شد.
SPF-023,synthetic_pre_pilot,false,دانشجوی پرستاری,Android/Chrome,4,4,5,4,4,حس می‌کنم برای آموزش تریاژ هم مفید است، به شرط اینکه هشدار اخلاقی همیشه باشد.,"education,ethics",هشدار اخلاقی در footer و privacy حفظ شد.
SPF-024,synthetic_pre_pilot,false,مدیریت بحران,Desktop/Chrome,4,4,5,4,4,برای سناریوی ازدحام، ورودی ناقص خیلی ارزشمند است.,"partial-input,crisis",قابلیت sparse input در docs برجسته شد.
SPF-025,synthetic_pre_pilot,false,کاربر عمومی,Android/Chrome,3,4,4,4,3,تعداد فیلدها کمی زیاد است اما قابل قبول است چون همه اجباری نیستند.,form-length,الزامی نبودن همه فیلدها در docs/UI توضیح داده شد.
SPF-026,synthetic_pre_pilot,false,دانشجوی پزشکی,Desktop/Chrome,5,4,5,4,4,نتیجه با عوامل موثر قابل دفاع‌تر است. بهتر است درصد خطر تنها معیار تصمیم نباشد.,"explainability,risk",اقدام بعدی و هشدارها کنار درصد حفظ شدند.
SPF-027,synthetic_pre_pilot,false,کاربر عمومی,Android/Chrome,4,5,5,4,5,بعد از زدن ارزیابی سریع به نتیجه می‌رود و خوب است.,navigation,scroll خودکار به نتیجه حفظ شد.
SPF-028,synthetic_pre_pilot,false,آشنا با درمانگاه,Android/Chrome,4,4,5,4,4,برای استفاده واقعی، ثبت داده بیمار حساس است و باید خیلی مراقب حریم خصوصی بود.,privacy,صفحه privacy و توضیح عدم ذخیره پیش‌فرض حفظ شد.
SPF-029,synthetic_pre_pilot,false,دانشجوی کامپیوتر,Desktop/Chrome,4,4,5,4,4,بهتر است نسخه نهایی دیگر سؤال‌های انتهای اپ را نداشته باشد.,"final-mode,feedback-form",فرم سوالات انتهایی حذف شد.
SPF-030,synthetic_pre_pilot,false,کاربر عمومی,iPhone/Safari,4,4,4,3,4,لینک مستقیم خوب است ولی QR برای ارسال بهتر است.,"qr,sharing",QR در بسته استاد و docs آماده شد.
SPF-031,synthetic_pre_pilot,false,پرستار تریاژ,Android/Chrome,4,4,5,4,4,هشدار اکسیژن پایین خیلی مهم است. در محیط واقعی باید با علائم حیاتی دوباره چک شود.,clinical-safety,اقدام تکرار علائم حیاتی در خروجی حفظ شد.
SPF-032,synthetic_pre_pilot,false,دانشجوی مدیریت,Desktop/Chrome,5,5,5,4,5,پروژه از حالت صرفاً فنی خارج شده و محصولی‌تر شده است.,project-management,evidence portal و Jira/KM assets بروزرسانی شد.
SPF-033,synthetic_pre_pilot,false,کاربر عمومی,Android/Chrome,3,3,5,4,3,بعضی سابقه‌های پزشکی مثل COPD برای همه روشن نیست.,"jargon,history",درس‌آموخته ساده‌سازی اصطلاحات ثبت شد.
SPF-034,synthetic_pre_pilot,false,دانشجوی پرستاری,Android/Chrome,4,4,5,4,4,دکمه پاک کردن خوب است، برای تست چند سناریو سریع کمک می‌کند.,workflow,دکمه پاک کردن حفظ شد.
SPF-035,synthetic_pre_pilot,false,آشنا با اورژانس,Desktop/Chrome,4,4,5,4,4,اگر به‌عنوان decision support معرفی شود قابل قبول‌تر است.,"ethics,trust",همه متن‌ها روی پشتیبان تصمیم بودن تاکید دارند.
SPF-036,synthetic_pre_pilot,false,کاربر عمومی,Android/Chrome,4,4,4,4,4,ظاهر ساده و جدی است. شلوغ نیست.,visual-design,کارت‌های تو در تو اضافه نشد و UI خلوت نگه داشته شد.
SPF-037,synthetic_pre_pilot,false,دانشجوی پزشکی,Desktop/Chrome,4,4,5,4,4,من دوست داشتم بدانم با داده ناقص هم جواب می‌دهد یا نه؛ درصد کامل بودن کمک کرد.,partial-input,data completeness حفظ شد.
SPF-038,synthetic_pre_pilot,false,دانشجوی کامپیوتر,Android/Chrome,5,4,5,5,4,service worker و manifest برای PWA مهم است و خوب است وجود دارد.,pwa,manifest/service worker در تست نگه داشته شد.
SPF-039,synthetic_pre_pilot,false,کاربر عمومی,Android/Chrome,3,4,4,4,3,اصطلاح «شکایت اصلی» شاید برای کاربر عمومی کمی پزشکی باشد.,language,در مستند UX به عنوان نیاز فاز بعد ثبت شد.
SPF-040,synthetic_pre_pilot,false,آشنا با درمانگاه,Android/Chrome,4,4,5,4,4,اگر فشار خون وارد نشود، سیستم همچنان خروجی می‌دهد؛ این برای شرایط عجله خوب است.,partial-input,پشتیبانی ورودی ناقص در docs برجسته شد.
SPF-041,synthetic_pre_pilot,false,دانشجوی مدیریت بحران,Desktop/Chrome,4,4,5,4,4,ارزش انسانی پروژه مشخص است. بهتر است در ارائه بگویید ابزار کمکی است.,social-value,متن ارزش انسانی در docs و poster assets حفظ شد.
SPF-042,synthetic_pre_pilot,false,کاربر عمومی,Android/Chrome,4,5,5,4,4,چاپ خلاصه برای تحویل به استاد یا تست خیلی خوب است.,case-summary,چاپ خلاصه حفظ شد.
SPF-043,synthetic_pre_pilot,false,دانشجوی پرستاری,Android/Chrome,4,4,5,4,4,در سناریوی بیمار پرخطر خروجی واضح بود.,critical-scenario,سناریوی پرخطر حفظ شد.
SPF-044,synthetic_pre_pilot,false,دانشجوی پزشکی,Desktop/Chrome,3,4,5,4,3,Precision پایین‌تر از Recall طبیعی است ولی باید در گزارش شفاف توضیح داده شود.,"metrics,tradeoff",trade-off Recall/FPR در docs توضیح داده شد.
SPF-045,synthetic_pre_pilot,false,کاربر عمومی,iPhone/Safari,4,4,4,3,3,روی آیفون بهتر است متن نصب کوتاه‌تر باشد.,"ios-install,copy",کارت نصب کوتاه و مستقیم اضافه شد.
SPF-046,synthetic_pre_pilot,false,آشنا با درمانگاه,Android/Chrome,4,4,5,4,4,اگر بیمار سالمند باشد، توجه سیستم به سن خوب است ولی نباید فقط سن تعیین‌کننده باشد.,model-explainability,عوامل موثر چندگانه و leakage/fairness در docs حفظ شد.
SPF-047,synthetic_pre_pilot,false,دانشجوی کامپیوتر,Desktop/Chrome,5,5,5,4,5,از نظر محصولی، حذف فرم بازخورد انتهایی تصمیم خوبی است.,final-mode,فرم feedback از UI عمومی حذف شد.
SPF-048,synthetic_pre_pilot,false,کاربر عمومی,Android/Chrome,3,4,5,4,3,بعضی فیلدها مثل بستری قبلی برای همه یادشان نیست، خوب است اجباری نیست.,optional-fields,فیلدها optional باقی ماندند.
SPF-049,synthetic_pre_pilot,false,دانشجوی مدیریت,Desktop/Edge,4,4,5,4,4,برای دفاع پروژه، مستندات Agile خیلی مهم است.,agile-docs,Jira/KM assets و evidence portal بروزرسانی شد.
SPF-050,synthetic_pre_pilot,false,کاربر عمومی,Android/Chrome,4,4,5,5,4,باز شدن از لینک برای من ساده بود.,public-url,لینک عمومی در handoff و README حفظ شد.
SPF-051,synthetic_pre_pilot,false,دانشجوی پزشکی,Android/Chrome,4,4,5,4,4,خروجی باید به کادر درمان ارجاع دهد، نه تصمیم قطعی بدهد؛ الان خوب است.,"ethics,clinical-language",متن اقدام بعدی human-in-the-loop باقی ماند.
SPF-052,synthetic_pre_pilot,false,آشنا با اورژانس,Android/Chrome,4,3,5,4,3,اگر در اورژانس واقعی باشد، باید فیلدها حتی سریع‌تر پر شوند.,workflow-speed,نیاز quick mode در backlog آینده ثبت شد.
SPF-053,synthetic_pre_pilot,false,دانشجوی کامپیوتر,Desktop/Firefox,4,4,5,4,4,خلاصه کیس با متن فارسی خوب کپی می‌شود.,copy,کپی خلاصه حفظ شد.
SPF-054,synthetic_pre_pilot,false,کاربر عمومی,Android/Chrome,4,4,4,4,4,به نظرم نتیجه با رنگ قرمز برای خطر خوب منتقل می‌شود.,visual-risk,رنگ خطر در gauge حفظ شد.
SPF-055,synthetic_pre_pilot,false,دانشجوی پرستاری,Android/Chrome,4,4,5,4,4,فهرست اقدام بعدی برای فهم خروجی کمک می‌کند.,next-actions,اقدام بعدی حفظ شد.
SPF-056,synthetic_pre_pilot,false,مدیریت بحران,Desktop/Chrome,4,4,5,4,4,برای شرایط بحران، نصب بدون اپ‌استور هم مزیت است ولی برای مارکت باید APK بعداً ساخته شود.,"market,apk",market handoff با توضیح PWA/APK آماده می‌شود.
SPF-057,synthetic_pre_pilot,false,کاربر عمومی,Android/Chrome,3,4,5,4,3,نام امدادیار خوب است و فارسی بودن حس اعتماد می‌دهد.,branding,نام امدادیار در manifest/title حفظ شد.
SPF-058,synthetic_pre_pilot,false,دانشجوی پزشکی,Desktop/Chrome,4,4,5,4,4,از نظر علمی باید data leakage واضح توضیح داده شود.,"leakage,docs",Model Card و poster assets روی leakage تاکید دارند.
SPF-059,synthetic_pre_pilot,false,آشنا با درمانگاه,Android/Chrome,4,4,5,4,4,اگر اینترنت قطع باشد، باز شدن shell برنامه مفید است.,"offline,pwa",service worker برای app shell حفظ شد.
SPF-060,synthetic_pre_pilot,false,دانشجوی کامپیوتر,Android/Chrome,5,4,5,4,4,مدل داخل مرورگر کار می‌کند؛ این برای demo خیلی خوب است.,browser-model,مدل static مرورگر حفظ شد.
SPF-061,synthetic_pre_pilot,false,کاربر عمومی,Android/Chrome,3,4,5,4,3,بهتر است نوشته‌های بالای صفحه زیاد نباشد. فقط امدادیار کافی است.,header-copy,هدر کوتاه و فقط برند باقی ماند.
SPF-062,synthetic_pre_pilot,false,دانشجوی مدیریت,Desktop/Chrome,4,4,5,4,4,برای استاد، نمودارها و KPIها باید جدا از محصول باشند.,docs-vs-product,محتوای مدیریتی از UI جدا شد.
SPF-063,synthetic_pre_pilot,false,پرستار تریاژ,Android/Chrome,4,4,5,4,4,باید در خروجی مشخص باشد اگر داده کم است، اعتماد کمتر است.,"confidence,partial-input",confidence band و completeness حفظ شد.
SPF-064,synthetic_pre_pilot,false,کاربر عمومی,iPhone/Safari,4,4,4,3,4,اگر QR را اسکن کنم راحت‌تر از تایپ لینک است.,qr,QR در بسته استاد و مارکت آماده شد.
SPF-065,synthetic_pre_pilot,false,دانشجوی پزشکی,Desktop/Chrome,4,4,5,4,4,فاز بعد باید تست با داده واقعی‌تر بیمارستانی باشد.,future-validation,اعتبارسنجی بالینی در roadmap ثبت شد.
SPF-066,synthetic_pre_pilot,false,آشنا با درمانگاه,Android/Chrome,4,4,5,4,4,در ازدحام، فقط چند فیلد اولیه ممکن است در دسترس باشد؛ این ویژگی مهم است.,sparse-input,سناریوی اطلاعات کم حفظ شد.
SPF-067,synthetic_pre_pilot,false,دانشجوی کامپیوتر,Desktop/Chrome,5,5,5,4,5,برای ارائه، public URL و QR خیلی حرفه‌ای‌تر از localhost است.,"deploy,qr",handoff public URL/QR آماده است.
SPF-068,synthetic_pre_pilot,false,کاربر عمومی,Android/Chrome,4,4,5,4,4,کارت‌های نتیجه خوانا هستند. فونت‌ها روی موبایل خوب دیده می‌شوند.,mobile-readability,ابعاد responsive حفظ و تست می‌شود.
SPF-069,synthetic_pre_pilot,false,دانشجوی پرستاری,Android/Chrome,4,4,5,4,4,بهتر است در آینده علائم درد یا سطح هوشیاری هم اضافه شود.,future-features,در backlog آینده ثبت شد.
SPF-070,synthetic_pre_pilot,false,مدیریت بحران,Desktop/Edge,4,4,5,4,4,پروژه ارزش ملی خوبی دارد ولی نباید ادعای درمانی قطعی کند.,"social-value,ethics",ادبیات محافظه‌کارانه و آموزشی حفظ شد.
SPF-071,synthetic_pre_pilot,false,کاربر عمومی,Android/Chrome,3,4,4,4,3,خوب است که خروجی را می‌شود چاپ کرد، اما شاید همه از چاپ استفاده نکنند.,print,چاپ به عنوان ابزار اختیاری حفظ شد.
SPF-072,synthetic_pre_pilot,false,دانشجوی پزشکی,Android/Chrome,4,4,5,4,4,در سناریوی درد قفسه سینه با سابقه قلبی، هشدارها منطقی بودند.,cardiac-scenario,سناریوی cardiac حفظ شد.
SPF-073,synthetic_pre_pilot,false,آشنا با درمانگاه,Desktop/Chrome,4,4,5,4,4,برای اعتماد بهتر، بهتر است نسخه و محدودیت مدل در مستندات باشد نه داخل اپ.,"model-info,docs-vs-product",متریک‌ها در docs نگه داشته شدند و از UI حذف شدند.
SPF-074,synthetic_pre_pilot,false,دانشجوی کامپیوتر,Android/Chrome,5,4,5,5,4,Add to Home Screen روی اندروید کاربرپسند است.,install,راهنمای نصب حفظ شد.
SPF-075,synthetic_pre_pilot,false,کاربر عمومی,Android/Chrome,4,4,5,4,4,برنامه حس فارسی و بومی دارد و این برای اعتماد مهم است.,"localization,trust",برند فارسی و متن‌های ساده حفظ شد.
SPF-076,synthetic_pre_pilot,false,دانشجوی مدیریت,Desktop/Chrome,4,4,5,4,4,در گزارش بگویید این بازخوردها شبیه‌سازی قبل از پایلوت هستند تا صادقانه باشد.,research-ethics,برچسب synthetic_pre_pilot در CSV و docs اضافه شد.
SPF-077,synthetic_pre_pilot,false,کاربر عمومی,Android/Chrome,4,4,5,4,4,اینکه لازم نیست همه فیلدها را پر کنم باعث شد راحت‌تر تست کنم.,"optional-fields,partial-input",پشتیبانی از ورودی ناقص و نمایش کامل بودن داده حفظ شد.
SPF-078,synthetic_pre_pilot,false,دانشجوی پزشکی,Desktop/Chrome,4,4,5,4,4,برای دفاع علمی، بهتر است حالت‌های مختلف threshold و دلیل انتخاب حالت پیش‌فرض نوشته شود.,"metrics,threshold",ممیزی نهایی متریک‌ها و operating pointها به docs اضافه شد.
